,task_type,number_of_peoples,estimated_time_in_minutes
583,1,5,930
584,2,7,2246
585,4,5,7343
586,3,1,11344
587,4,9,9129
588,4,1,32200
589,2,10,175
590,3,9,1161
591,1,6,490
592,2,2,3708
593,3,8,4193
594,3,9,1602
595,4,3,176
596,3,6,5119
597,2,6,173
598,4,1,11707
599,1,1,2030
600,3,9,4646
601,1,4,632
602,3,2,6523
603,4,1,4837
604,2,7,3284
605,4,7,1368
606,1,2,9853
607,4,8,2235
608,2,7,2863
609,2,3,5571
610,3,7,5434
611,1,6,537
612,1,8,1421
613,4,9,5114
614,1,5,1159
615,3,1,37358
616,1,5,505
617,3,1,12514
618,4,4,1239
619,1,8,863
620,2,1,11940
621,4,10,10924
622,4,5,2722
623,4,5,8389
624,2,10,1295
625,4,6,9576
626,1,10,368
627,3,9,1073
628,3,1,33062
629,3,4,1457
630,3,9,202
631,2,9,2865
632,3,2,1085
633,4,5,12853
634,1,1,21221
635,4,3,2960
636,3,9,2103
637,2,5,4075
638,4,10,9132
639,3,6,736
640,4,10,2563
641,1,9,1674
642,1,1,7257
643,1,4,359
644,4,3,25880
645,1,2,2834
646,1,3,4140
647,1,6,965
648,1,3,4055
649,3,4,5582
650,2,8,641
651,4,4,7087
652,4,8,2368
653,2,1,8034
654,1,10,299
655,3,5,6321
656,1,1,1651
657,4,2,1135
658,4,1,18966
659,3,3,11739
660,4,7,3377
661,3,10,4009
662,2,6,904
663,1,6,2991
664,2,2,642
665,4,5,5562
666,3,4,2537
667,2,2,5220
668,2,8,1127
669,1,7,3939
670,4,6,1217
671,3,8,674
672,1,10,1332
673,2,4,6251
674,4,4,2420
675,2,2,4915
676,3,8,588
677,2,10,498
678,4,3,4550
679,2,4,6489
680,2,7,1899
681,2,5,1494
682,2,8,2320
683,3,8,1585
684,3,8,587
685,3,10,934
686,1,5,1313
687,1,4,3739
688,4,8,806
689,3,8,1755
690,1,7,2684
691,1,3,3698
692,1,9,2588
693,4,1,40182
694,4,7,9913
695,2,5,4917
696,2,5,5760
697,4,9,7286
698,1,1,11589
699,4,6,13086
700,2,10,421
701,2,10,142
702,4,7,1510
703,4,2,9822
704,4,7,4253
705,1,8,1949
706,1,8,540
707,3,10,273
708,4,9,746
709,1,7,674
710,3,6,5393
711,2,4,4027
712,4,4,1801
713,3,5,1651
714,4,6,9581
715,1,1,641
716,1,5,2734
717,3,7,2326
718,4,2,31525
719,2,5,1068
720,4,3,5851
721,1,8,232
722,4,8,3091
723,4,6,1881
724,1,4,1064
725,4,2,8461
726,2,1,26989
727,3,8,5945
728,1,1,11665
729,3,4,3305
730,1,7,468
731,2,8,132
732,1,6,2593
733,3,9,3631
734,4,1,12337
735,2,2,6653
736,4,7,7676
737,3,1,37905
738,1,6,2348
739,1,1,19129
740,3,3,8363
741,2,2,678
742,4,3,22715
743,3,2,361
744,4,2,31175
745,4,5,4290
746,1,3,6412
747,4,9,2697
748,4,8,95
749,2,6,2748
750,3,8,735
751,1,8,1439
752,2,1,26172
753,1,2,3122
754,1,3,2211
755,3,6,2093
756,3,5,4645
757,2,2,2480
758,1,8,2059
759,2,5,1960
760,1,5,3855
761,3,10,3372
762,3,4,464
763,4,2,13033
764,4,2,11138
765,2,7,935
766,4,5,9156
767,4,6,13175
768,2,3,1864
769,1,4,215
770,2,5,1136
771,4,9,1834
772,1,5,3289
773,4,7,4477
774,3,2,14201
775,4,3,15351
776,1,3,524
777,2,8,2598
778,3,6,1488
779,1,9,899
780,1,8,827
781,1,4,1061
782,3,6,4574
783,3,5,1155
784,3,3,7673
785,3,2,2214
786,2,8,1828
787,3,7,771
788,4,6,2859
789,2,2,4504
790,1,2,1216
791,3,4,3748
792,2,3,2023
793,2,5,464
794,1,9,1306
795,3,10,4009
796,3,5,532
797,2,7,2818
798,1,1,4683
799,4,6,12491
800,4,6,636
801,1,9,206
802,2,3,2987
803,1,7,1402
804,1,3,296
805,4,6,9763
806,2,4,5424
807,3,6,6278
808,3,10,5100
809,2,3,2075
810,3,4,527
811,2,7,1316
812,4,7,11410
813,1,5,2854
814,2,10,758
815,2,10,451
816,2,2,893
817,4,2,34205
818,2,6,3550
819,2,6,1489
820,2,3,2690
821,1,3,4353
822,2,9,2679
823,1,9,879
824,2,2,5086
825,3,5,4823
826,3,9,753
827,4,8,664
828,4,5,11093
829,4,8,7444
830,1,10,1424
831,4,9,599
832,2,3,7267
833,1,9,187
834,3,8,1133
835,3,8,1354
836,1,10,1382
837,4,10,2198
838,2,1,175
839,3,2,23530
840,4,5,772
841,2,7,918
842,4,5,17425
843,3,2,13460
844,1,10,1401
845,4,1,49859
846,1,8,2887
847,3,8,3830
848,4,3,23888
849,1,8,2878
850,4,2,4020
851,4,4,6252
852,2,6,852
853,3,1,2271
854,3,8,1506
855,1,5,1481
856,3,9,1143
857,2,7,1635
858,2,5,3122
859,3,4,7498
860,2,5,520
861,4,8,5018
862,2,1,21889
863,4,8,2573
864,2,7,3176
865,3,6,956
866,1,2,2249
867,3,9,2556
868,2,10,1675
869,4,2,4112
870,1,2,9314
871,3,6,256
872,4,5,10760
873,4,5,12772
874,1,9,484
875,4,10,2587
876,4,5,8748
877,2,8,954
878,1,4,3311
879,4,4,19699
880,1,1,386
881,4,7,675
882,4,9,7632
883,3,7,6486
884,3,1,26287
885,4,2,4716
886,1,4,207
887,2,10,1777
888,2,8,2327
889,1,3,3752
890,3,5,5929
891,2,6,3180
892,4,6,8194
893,2,8,2155
894,4,5,14475
895,3,8,274
896,3,8,2389
897,2,5,3411
898,3,9,655
899,1,1,6039
900,1,6,3202
901,4,3,23037
902,3,4,5956
903,1,3,2065
904,4,6,2014
905,3,1,22303
906,4,5,21203
907,3,5,5895
908,2,6,5854
909,2,2,8193
910,4,9,2380
911,3,7,1755
912,1,10,894
913,4,1,19892
914,3,7,3105
915,3,9,632
916,3,6,5996
917,2,7,1460
918,3,6,4805
919,2,5,2230
920,3,9,1101
921,2,3,2164
922,4,10,7834
923,1,8,1039
924,2,9,242
925,4,4,1690
926,1,9,1645
927,3,6,3813
928,3,6,2960
929,3,3,2825
930,2,1,24025
931,1,1,2344
932,3,3,3736
933,2,4,5462
934,2,3,883
935,2,6,4516
936,3,9,1132
937,2,4,2561
938,2,10,2523
939,2,5,1632
940,4,3,9758
941,4,2,31150
942,4,3,10281
943,1,7,799
944,4,6,8378
945,3,10,1708
946,2,8,246
947,2,8,1306
948,2,10,134
949,1,7,291
950,3,3,4663
951,3,8,4474
952,3,8,355
953,4,6,3451
954,4,4,664
955,2,6,1391
956,4,3,20349
957,3,4,177
958,2,6,2733
959,4,9,804
960,2,5,4817
961,3,9,4082
962,4,1,79713
963,2,6,2488
964,4,3,978
965,1,5,2222
966,1,1,12857
967,2,8,2430
968,4,8,8021
969,4,6,1226
970,1,1,16954
971,2,10,164
972,1,9,1287
973,3,6,5638
974,2,3,4913
975,4,10,1452
976,1,5,3659
977,3,6,2862
978,4,9,6583
979,3,3,8947
980,1,2,7437
981,4,5,9566
982,3,5,5764
983,4,7,2265
984,3,1,1881
985,2,10,2309
986,2,9,2697
987,1,9,152
988,3,10,3358
989,2,7,529
990,3,7,858
991,3,8,1153
992,3,5,637
993,4,7,2683
994,4,7,891
995,1,8,304
996,1,1,13637
997,2,1,7689
998,4,9,8165
999,4,7,430
1000,4,3,33196
1001,1,8,1008
1002,1,6,3333
1003,3,1,7282
1004,2,6,538
1005,2,2,568
1006,4,4,3565
1007,3,9,2863
1008,2,1,17722
1009,4,8,777
1010,2,4,1791
1011,3,1,13342
1012,2,10,1008
1013,2,5,3747
1014,3,7,2734
1015,2,2,17094
1016,1,9,913
1017,4,5,4446
1018,3,1,30189
1019,3,1,41759
1020,3,8,2840
1021,4,5,21571
1022,3,8,3482
1023,4,2,41302
1024,3,6,4080
1025,4,3,13062
1026,1,10,483
1027,1,10,392
1028,2,8,951
1029,3,9,123
1030,3,5,9279
1031,1,3,1571
1032,3,8,551
1033,1,6,2105
1034,4,5,1293
1035,3,1,21475
1036,2,2,9615
1037,1,9,895
1038,2,10,2087
1039,2,1,5870
1040,3,10,412
1041,3,8,1194
1042,2,8,454
1043,3,5,5347
1044,4,2,576
1045,1,10,1321
1046,3,2,957
1047,1,10,338
1048,2,5,995
1049,3,7,5292
1050,1,8,1498
1051,2,6,171
1052,2,4,3457
1053,3,2,10762
1054,4,3,1730
1055,4,1,10066
1056,1,6,420
1057,1,4,3043
1058,4,7,305
1059,3,6,4965
1060,1,6,1933
1061,2,6,196
1062,2,1,25018
1063,3,8,420
1064,4,2,8590
1065,1,1,2593
1066,2,5,4677
1067,4,6,8865
1068,1,1,16740
1069,4,6,6310
1070,2,4,714
1071,3,5,327
1072,4,7,3422
1073,3,3,13124
1074,4,4,377
1075,4,7,760
1076,1,1,5896
1077,4,4,2054
1078,1,10,369
1079,4,8,10186
1080,3,5,1588
1081,4,9,905
1082,2,5,282
1083,3,10,1652
1084,1,9,1517
1085,4,6,1935
1086,4,10,2235
1087,1,9,382
1088,1,3,4626
1089,2,5,1375
1090,1,10,1324
1091,4,1,3881
1092,2,6,102
1093,1,10,163
1094,4,8,723
1095,1,6,1283
1096,3,9,405
1097,4,1,20966
1098,4,8,3010
1099,4,3,17649
1100,4,1,26526
1101,2,7,3159
1102,2,3,379
1103,2,4,366
1104,3,7,2399
1105,1,9,709
1106,1,4,1446
1107,4,2,18555
1108,4,3,2760
1109,1,10,767
1110,3,9,4896
1111,3,4,2063
1112,4,4,23905
1113,1,3,4777
1114,3,7,6219
1115,1,10,1504
1116,4,10,2866
1117,1,1,2372
1118,3,2,15204
1119,2,5,4972
1120,3,8,499
1121,1,3,743
1122,2,6,776
1123,4,3,26948
1124,2,1,7795
1125,3,10,4734
1126,2,5,1574
1127,1,1,16839
1128,4,7,12391
1129,2,3,7088
1130,2,1,19675
1131,2,7,1510
1132,1,1,12162
1133,3,9,2086
1134,2,4,4205
1135,2,4,848
1136,4,7,1110
1137,1,1,3446
1138,2,1,3026
1139,3,3,4233
1140,2,5,338
1141,2,1,18226
1142,3,9,863
1143,2,2,2912
1144,1,9,1623
1145,1,3,871
1146,3,1,24649
1147,3,6,3441
1148,4,1,53328
1149,2,6,973
1150,1,6,209
1151,2,5,309
1152,3,4,4629
1153,1,2,6381
1154,3,4,6343
1155,2,1,8699
1156,3,6,5255
1157,3,10,4171
1158,4,7,1030
1159,3,1,21526
1160,2,3,1238
1161,1,5,1536
1162,2,9,1949
1163,2,10,318
1164,4,9,7494
1165,3,10,306
1166,3,1,27521
1167,4,1,53819
1168,2,10,2096
1169,3,8,4251
1170,1,2,2725
1171,3,10,3227
1172,2,3,3941
1173,1,3,5863
1174,4,9,5964
1175,2,5,1468
1176,4,3,2115
1177,3,5,1845
1178,2,9,774
1179,1,10,494
1180,3,10,2582
1181,4,7,9784
1182,1,5,308
1183,3,5,5305
1184,3,1,11218
1185,4,4,2723
1186,4,7,11543
1187,1,9,2098
1188,3,9,4896
1189,1,1,10263
1190,4,5,16550
1191,3,3,3118
1192,3,9,807
1193,1,8,675
1194,1,3,1427
1195,3,2,18366
1196,1,6,724
1197,3,6,4467
1198,4,10,4048
1199,1,4,3464
1200,1,6,256
1201,1,4,895
1202,4,2,5321
1203,3,5,5173
1204,1,3,3037
1205,4,8,7186
1206,4,5,18267
1207,2,4,1534
1208,3,7,1705
1209,3,5,7535
1210,4,3,9651
1211,3,8,3893
1212,2,4,8553
1213,2,10,274
1214,3,3,1267
1215,4,9,6451
1216,2,9,3052
1217,1,5,3591
1218,2,9,176
1219,1,9,294
1220,3,5,692
1221,2,9,917
1222,4,2,11502
1223,4,4,3915
1224,2,2,974
1225,1,9,822
1226,2,3,4484
1227,1,9,1709
1228,4,4,11563
1229,1,6,182
1230,4,8,222
1231,4,9,7143
1232,1,2,6833
1233,3,6,5695
1234,4,9,6821
1235,2,7,3391
1236,1,9,441
1237,1,6,181
1238,3,1,13854
1239,1,5,2680
1240,4,1,21059
1241,1,4,1533
1242,4,5,13999
1243,2,5,2149
1244,3,2,4010
1245,2,6,1134
1246,4,10,9248
1247,4,1,17098
1248,4,10,639
1249,4,10,8022
1250,3,3,8742
1251,3,3,10078
1252,1,7,2828
1253,1,5,787
1254,2,4,5877
1255,4,3,12317
1256,3,1,16978
1257,1,8,896
1258,1,7,1515
1259,1,1,17752
1260,3,10,3716
1261,3,3,3613
1262,4,6,2874
1263,1,8,2442
1264,2,7,3232
1265,2,6,1357
1266,2,6,3394
1267,2,4,4616
1268,2,2,17277
1269,4,2,17987
1270,1,10,1400
1271,3,3,2256
1272,4,5,13753
1273,2,10,2601
1274,3,7,1970
1275,2,10,710
1276,3,4,3222
1277,2,1,5787
1278,3,8,2890
1279,3,8,1833
1280,2,7,590
1281,2,6,648
1282,4,7,261
1283,4,7,954
1284,2,3,2011
1285,3,2,2348
1286,2,4,3641
1287,3,3,4318
1288,4,9,7160
1289,2,4,5376
1290,3,4,501
1291,4,7,2880
1292,3,5,1282
1293,2,3,6659
1294,3,2,4944
1295,4,4,4431
1296,4,9,4482
1297,4,6,2904
1298,4,2,14338
1299,1,2,6581
1300,1,4,1224
1301,4,10,7916
1302,1,8,1788
1303,4,3,8601
1304,3,8,708
1305,2,5,288
1306,4,2,28704
1307,4,10,5476
1308,1,10,459
1309,1,4,169
1310,2,10,753
1311,4,6,10149
1312,3,7,4607
1313,4,10,2115
1314,3,3,2966
1315,1,6,1961
1316,3,1,5024
1317,4,7,7221
1318,4,7,6665
1319,1,9,322
1320,4,4,10500
1321,4,3,25188
1322,3,6,8795
1323,2,10,708
1324,4,3,24355
1325,2,9,162
1326,4,8,7495
1327,1,10,337
1328,1,3,561
1329,4,6,11018
1330,1,10,1510
1331,1,2,1798
1332,1,2,6456
1333,3,7,2209
1334,3,3,8757
1335,3,10,1984
1336,1,7,2222
1337,3,2,5596
1338,2,6,1951
1339,4,3,1566
1340,3,4,2827
1341,1,5,1678
1342,3,6,3957
1343,3,2,18439
1344,1,1,25310
1345,1,6,461
1346,1,8,2315
1347,1,10,1290
1348,3,3,3525
1349,1,10,172
1350,3,5,4151
1351,4,5,8109
1352,1,2,5854
1353,4,8,6776
1354,2,8,2191
1355,1,5,3005
1356,4,1,38574
1357,1,8,751
1358,2,9,2272
1359,1,2,3255
1360,4,10,5580
1361,1,7,2115
1362,4,4,5451
1363,3,4,2152
1364,3,7,4638
1365,1,9,1364
1366,1,5,992
1367,3,6,1351
1368,3,1,2989
1369,3,3,4563
1370,1,3,239
1371,4,1,10820
1372,2,6,1967
1373,1,6,3560
1374,1,9,1994
1375,4,2,3121
1376,4,10,4152
1377,3,3,1775
1378,1,3,884
1379,4,5,4174
1380,4,1,84683
1381,3,6,5733
1382,3,10,3112
1383,2,5,1038
1384,2,9,248
1385,3,6,1923
1386,4,10,2309
1387,4,5,1197
1388,3,6,5178
1389,4,2,43089
1390,3,2,1294
1391,1,10,721
1392,4,2,32867
1393,3,7,447
1394,1,8,384
1395,3,8,690
1396,4,2,8458
1397,1,1,15014
1398,4,5,15109
1399,2,2,1607
1400,2,1,507
1401,1,6,3178
1402,2,5,3400
1403,2,3,5852
1404,2,2,7938
1405,1,8,794
1406,3,10,651
1407,1,8,697
1408,4,3,15327
1409,1,7,329
1410,3,9,1343
1411,3,1,2340
1412,4,5,566
1413,2,9,898
1414,4,6,11944
1415,4,1,6802
1416,3,2,14622
1417,2,5,2158
1418,1,1,13565
1419,2,8,1563
1420,4,4,9760
1421,3,8,3335
1422,1,7,1924
1423,1,6,2618
1424,4,3,10554
1425,4,5,4468
1426,2,8,460
1427,1,3,1463
1428,1,3,536
1429,3,7,446
1430,3,3,10998
1431,4,10,5247
1432,4,3,16424
1433,4,3,28309
1434,2,5,4140
1435,1,1,11693
1436,2,10,236
1437,1,6,269
1438,3,9,2284
1439,1,8,1361
1440,1,2,5060
1441,4,6,5104
1442,1,1,3151
1443,2,2,2886
1444,1,8,1777
1445,2,4,3784
1446,4,8,7042
1447,1,10,470
1448,1,2,10683
1449,1,1,8488
1450,2,7,749
1451,3,2,19615
1452,4,3,12898
1453,1,9,287
1454,3,6,6619
1455,2,10,576
1456,2,4,3683
1457,1,1,18478
1458,1,1,6064
1459,3,3,694
1460,2,6,695
1461,3,6,4532
1462,2,6,424
1463,2,2,1158
1464,2,9,2905
1465,4,1,15913
1466,4,6,10280
1467,3,4,7304
1468,4,2,40833
1469,2,8,2798
1470,3,8,482
1471,2,9,916
1472,3,1,37567
1473,2,10,2155
1474,3,7,1990
1475,3,8,1492
1476,3,6,6471
1477,4,6,2790
1478,3,9,3142
1479,4,3,22674
1480,3,10,1368
1481,4,5,1577
1482,4,9,2265
1483,3,5,776
1484,3,3,983
1485,1,10,303
1486,4,10,1742
1487,1,4,340
1488,2,8,3546
1489,1,5,3255
1490,1,4,3919
1491,3,8,188
1492,1,1,6928
1493,4,5,4066
1494,2,3,1876
1495,3,4,3687
1496,1,5,2973
1497,1,4,1650
1498,3,2,4098
1499,1,2,731
1500,4,7,1409
1501,3,4,7475
1502,3,3,11167
1503,3,3,13954
1504,4,5,9980
1505,1,3,785
1506,4,1,27142
1507,1,10,1200
1508,2,1,15862
1509,2,9,990
1510,2,7,3155
1511,1,7,662
1512,4,3,18963
1513,2,1,28974
1514,1,2,8043
1515,3,8,4152
1516,2,7,946
1517,3,2,3401
1518,2,10,2414
1519,2,6,166
1520,1,1,17547
1521,3,7,6156
1522,1,7,333
1523,1,7,322
1524,1,4,4612
1525,1,10,384
1526,4,7,698
1527,4,3,13737
1528,2,10,681
1529,1,3,1208
1530,4,4,16330
1531,4,3,13267
